year_month,score_before,outlets_before,rows_before,score_after,outlets_after,rows_after
2025-11,0.2981668801982618,47,926,0.22419490911105422,30,414
2025-12,0.3463180856849219,42,462,0.26992379041582126,30,269
2026-01,0.36566715091283225,35,314,0.2675338938262215,19,154
2026-02,0.5711641098485102,6,59,0.4867441396777144,4,27
