year_month,score_before_dedup,outlets_before_dedup,rows_before_dedup,score_after_dedup,outlets_after_dedup,rows_after_dedup
2025-11,0.22419490912470585,30,414,0.2627243585798862,21,345
2025-12,0.2699237904210306,30,269,0.35290770262483995,20,168
2026-01,0.26753389383366816,19,154,0.30215252814201204,11,123
2026-02,0.48674413969926905,4,27,0.5135426039010359,3,25
